institutioncode,catalognumber,scientificname,country,decimallatitude,decimallongitude
AM,R.116304,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.110275,Laticauda laticaudata,New Caledonia,-22.266,166.433
AM,R.110303,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.104020,Laticauda colubrina,Solomon Islands,-8.266,157.5
AM,R.104015,Laticauda colubrina,Solomon Islands,-8.266,157.5
AM,R.116360,Laticauda colubrina,Fiji,-17.85,177.2
AM,R.45820,Laticauda colubrina,Fiji,-19.0,178.416
AM,R.116344,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.116314,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.109717,Laticauda laticaudata,Vanuatu,-17.783,168.25
AM,R.138635,Laticauda saintgironsi,New Caledonia,-22.55,167.416
AM,R.101193,Laticauda crockeri,Solomon Islands,-11.833,160.466
AM,R.110281,Laticauda saintgironsi,New Caledonia,-22.266,166.433
AM,R.116556,Laticauda colubrina,Tonga,-21.083,175.116
AM,R.109656,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.144026.002,Laticauda frontalis,Vanuatu,-17.78388,168.28221
AM,R.109686,Laticauda saintgironsi,New Caledonia,-22.55,166.8
AM,R.109886,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.45793,Laticauda colubrina,,-5.95,155.333
AM,R.116611,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.124894,Laticauda colubrina,,-9.25,152.933
AM,R.116354,Laticauda colubrina,Fiji,-17.85,177.2
AM,R.116614,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.101217,Laticauda crockeri,Solomon Islands,-11.833,160.466
AM,R.110053,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.109655,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.101197,Laticauda crockeri,Solomon Islands,-11.833,160.466
AM,R.109662,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.109672,Laticauda saintgironsi,New Caledonia,-22.516,166.6
AM,R.116622,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.109716,Laticauda frontalis,Vanuatu,-17.516,168.4
AM,R.109735,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.116540,Laticauda colubrina,Tonga,-21.083,175.133
AM,R.144071,Laticauda saintgironsi,New Caledonia,-20.6311,164.87499
AM,R.116618,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.116369,Laticauda colubrina,Fiji,-17.85,177.2
AM,R.116536,Laticauda colubrina,Fiji,-16.333,179.383
AM,R.116523,Laticauda colubrina,Fiji,-16.333,179.383
AM,R.116272,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.101212,Laticauda crockeri,Solomon Islands,-11.833,160.466
AM,R.116312,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.144025,Laticauda frontalis,Vanuatu,-17.78388,168.28221
AM,R.116287,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.101181,Laticauda colubrina,Solomon Islands,-11.833,160.466
AM,R.116303,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.116289,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.116366,Laticauda colubrina,Fiji,-17.85,177.2
AM,R.109727,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.101191,Laticauda crockeri,Solomon Islands,-11.833,160.466
AM,R.101225,Laticauda crockeri,Solomon Islands,-11.833,160.466
AM,R.123460,Laticauda crockeri,Solomon Islands,-11.75,160.5
AM,R.109698,Laticauda saintgironsi,New Caledonia,-22.55,166.8
AM,R.116296,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.116362,Laticauda colubrina,Fiji,-17.85,177.2
AM,R.116399,Laticauda colubrina,Fiji,-16.233,179.1
AM,R.109644,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.116604,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.45819,Laticauda colubrina,Fiji,-19.0,178.416
AM,R.144094,Laticauda saintgironsi,New Caledonia,-20.30361,164.09749
AM,R.104014,Laticauda colubrina,Solomon Islands,-8.266,157.5
AM,R.101291,Laticauda colubrina,Solomon Islands,-11.75,160.4
AM,R.109703,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.109706,Laticauda frontalis,Vanuatu,-17.516,168.4
AM,R.144023,Laticauda frontalis,Vanuatu,-17.72054,168.17499
AM,R.123463,Laticauda crockeri,Solomon Islands,-11.75,160.5
AM,R.109741,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.116363,Laticauda colubrina,Fiji,-17.85,177.2
AM,R.116625,Laticauda frontalis,Vanuatu,-17.516,168.4
AM,R.116566,Laticauda laticaudata,Fiji,-16.233,179.1
AM,R.109713,Laticauda frontalis,Vanuatu,-17.516,168.4
AM,R.109705,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.110306,Laticauda colubrina,Fiji,-16.333,179.383
AM,R.116323,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.109725,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.109889,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.116285,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.104041,Laticauda colubrina,Fiji,-17.983,178.7
AM,R.110274,Laticauda laticaudata,New Caledonia,-22.266,166.433
AM,R.116290,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.109932,Laticauda colubrina,Fiji,-16.333,179.383
AM,R.116538,Laticauda colubrina,Tonga,-21.083,175.133
AM,R.78036,Laticauda saintgironsi,New Caledonia,-20.216,164.0
AM,R.110301,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.109664,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.110255,Laticauda colubrina,Fiji,-16.333,179.383
AM,R.116357,Laticauda colubrina,Fiji,-17.85,177.2
AM,R.45795,Laticauda laticaudata,,-10.6,150.65
AM,R.110273,Laticauda laticaudata,New Caledonia,-22.266,166.433
AM,R.110272,Laticauda laticaudata,New Caledonia,-22.266,166.433
AM,R.109679,Laticauda saintgironsi,New Caledonia,-22.55,166.8
AM,R.127264,Laticauda colubrina,Solomon Islands,-6.65,156.566
AM,R.116325,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.138884.002,Laticauda frontalis,Vanuatu,-13.433,166.683
AM,R.101189,Laticauda crockeri,Solomon Islands,-11.833,160.466
AM,R.109647,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.116550,Laticauda colubrina,Tonga,-21.083,175.116
AM,R.116384,Laticauda colubrina,Fiji,-16.233,179.1
AM,R.124893,Laticauda colubrina,,-9.25,152.933
AM,R.116549,Laticauda colubrina,Tonga,-21.083,175.116
AM,R.116295,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.116319,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.116396,Laticauda colubrina,Fiji,-16.233,179.1
AM,R.109702,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.144054.002,Laticauda colubrina,Vanuatu,-17.51804,168.42249
AM,R.144052.002,Laticauda colubrina,Vanuatu,-17.51804,168.42249
AM,R.116311,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.116278,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.78049,Laticauda laticaudata,New Caledonia,-20.216,164.0
AM,R.110065,Laticauda colubrina,Fiji,-16.333,179.383
AM,R.110251,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.109894,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.144069,Laticauda saintgironsi,New Caledonia,-20.71333,165.02332
AM,R.109696,Laticauda saintgironsi,New Caledonia,-22.55,166.8
AM,R.116326,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.109681,Laticauda saintgironsi,New Caledonia,-22.55,166.8
AM,R.116539,Laticauda colubrina,Tonga,-21.083,175.133
AM,R.109660,Laticauda saintgironsi,New Caledonia,-22.333,166.566
AM,R.109692,Laticauda saintgironsi,New Caledonia,-22.516,166.6
AM,R.3424,Laticauda guineai,Papua New Guinea,-9.333,147.133
AM,R.144025.003,Laticauda frontalis,Vanuatu,-17.78388,168.28221
AM,R.101219,Laticauda crockeri,Solomon Islands,-11.833,160.466
AM,R.123468,Laticauda crockeri,Solomon Islands,-11.75,160.5
AM,R.144045,Laticauda laticaudata,Vanuatu,-17.78388,168.28221
AM,R.144022.001,Laticauda frontalis,Vanuatu,-17.51804,168.42249
AM,R.110245,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.116316,Laticauda laticaudata,New Caledonia,-22.333,166.566
AM,R.109700,Laticauda laticaudata,New Caledonia,-22.55,166.8
AM,R.111328,Laticauda laticaudata,New Caledonia,-22.266,166.45
AM,R.109879,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.116546,Laticauda colubrina,Tonga,-21.083,175.133
AM,R.109690,Laticauda saintgironsi,New Caledonia,-22.516,166.6
AM,R.109893,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.116619,Laticauda colubrina,Vanuatu,-17.516,168.4
AM,R.110249,Laticauda colubrina,Fiji,-18.25,178.216
AM,R.110287,Laticauda saintgironsi,New Caledonia,-22.266,166.433
AM,R.110279,Laticauda saintgironsi,New Caledonia,-22.266,166.433
AM,R.144046,Laticauda laticaudata,Vanuatu,-17.78388,168.28221
AM,R.123470,Laticauda crockeri,Solomon Islands,-11.75,160.5
AM,R.116355,Laticauda colubrina,Fiji,-17.85,177.2
AM,R.109934,Laticauda colubrina,Fiji,-16.333,179.383
AM,R.101216,Laticauda crockeri,Solomon Islands,-11.833,160.466
