type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject	2016-02-04 15:55:03.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: 0abd9106-0218-4420-afe3-a9c3cebb20a8. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=0abd9106-0218-4420-afe3-a9c3cebb20a8	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				0abd9106-0218-4420-afe3-a9c3cebb20a8	341149		Travers, Scott; Bizu, Carlose; Michael, Woody								ETOH - 1; tissue - 100																		2014-12-10		344	344	2014	12	10	2014-12-10					Shallow coastal bay; swimming in shallow water near shore; Time Collected 2000			Solomon Islands, Western Province, Kolombangara Island	Oceania				Solomon Islands		Western Province	Kolombangara Island		Vavanga; coastal area												-8.06015	156.96698	not recorded																																												Laticauda colubrina								Reptilia	Serpentes	Elapidae	Laticauda		colubrina																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	1	0	0	0	specimen	0
PhysicalObject	2018-10-23 13:49:46.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: 2faeb624-9f86-4080-927e-a3ae487e0a22. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=2faeb624-9f86-4080-927e-a3ae487e0a22	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				2faeb624-9f86-4080-927e-a3ae487e0a22	350705		Travers, Scott; Tigulu, Ikuo								tissue - 50; ETOH - 1																		2018-06-18		169	169	2018	6	18	2018-06-18					16:30; collected in mangrove islet (10 m in diameter), resting in hole in mangrove tree			Solomon Islands, Isabel Province, Hovukoilo	Oceania			Tine Mangrove Islet	Solomon Islands		Isabel Province	Hovukoilo		Tine Mangrove Islet												-8.0722	159.53532	not recorded																																												Laticauda colubrina								Reptilia	Serpentes	Elapidae	Laticauda		colubrina																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	1	0	0	0	specimen	0
PhysicalObject	2019-02-20 16:45:38.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: 393cc47f-becd-4203-8a33-fbd7b6b152c2. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=393cc47f-becd-4203-8a33-fbd7b6b152c2	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				393cc47f-becd-4203-8a33-fbd7b6b152c2	350938		Richmond, John; Tigulu, Ikuo								ETOH - 1; tissue - 50																		2018-10-18		291	291	2018	10	18	2018-10-18					collected just offshore from Te-Nggano village			Solomon Islands, Rennell and Belona Province, East Rennell	Oceania			Rennell Island	Solomon Islands		Rennell and Belona Province	East Rennell		Te-Nggano, Lake Te-Nggano												-11.744128	160.433367	not recorded																																												Laticauda colubrina								Reptilia	Serpentes	Elapidae	Laticauda		colubrina																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	1	0	0	0	specimen	0
PhysicalObject	2019-02-20 16:45:38.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: 6c940ba5-8d86-4d2a-a927-1346d21d14f4. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=6c940ba5-8d86-4d2a-a927-1346d21d14f4	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				6c940ba5-8d86-4d2a-a927-1346d21d14f4	350937		Richmond, John; Tigulu, Ikuo								ETOH - 1; tissue - 50																		2018-10-23		296	296	2018	10	23	2018-10-23					collected just offshore from Te-Nggano village			Solomon Islands, Rennell and Belona Province, East Rennell	Oceania			Rennell Island	Solomon Islands		Rennell and Belona Province	East Rennell		Te-Nggano, Lake Te-Nggano												-11.744739	160.433422	not recorded																																												Laticauda colubrina								Reptilia	Serpentes	Elapidae	Laticauda		colubrina																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	1	0	0	0	specimen	0
PhysicalObject	2019-02-20 16:45:39.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: a5ff6452-20f6-4ba6-afc9-b42a4e65221f. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=a5ff6452-20f6-4ba6-afc9-b42a4e65221f	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				a5ff6452-20f6-4ba6-afc9-b42a4e65221f	350940		Richmond, John; Tigulu, Ikuo								ETOH - 1; tissue - 50																		2018-10-22		295	295	2018	10	22	2018-10-22					collected just offshore from Te-Nggano village			Solomon Islands, Rennell and Belona Province, East Rennell	Oceania			Rennell Island	Solomon Islands		Rennell and Belona Province	East Rennell		Te-Nggano, Lake Te-Nggano												-11.745116	160.433651	not recorded																																												Laticauda crockeri								Reptilia	Serpentes	Elapidae	Laticauda		crockeri																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	1	0	0	0	specimen	0
PhysicalObject	2000-11-28 12:47:43.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: b7fcd2c6-b069-11e3-8cfe-90b11c41863e. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=b7fcd2c6-b069-11e3-8cfe-90b11c41863e	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				b7fcd2c6-b069-11e3-8cfe-90b11c41863e	94559										ETOH - 1																		1950-09-04		247	247	1950	9	4	1950-09-04								Japan, Okinawa	Asia				Japan		Okinawa			Buckner Bay											Buckner Bay is English name for Nakagusuku Bay; This plots on an island or coastline, some GIS sources place it out of the country boundary	26.2556900	127.8390300	Japanese Geodetic Datum 2000											2008-03-13	MaNIS/HerpNET/ORNIS Georeferencing Guidelines	Geographical Survey Institute of Japan (GSIJ) 1:25,000 Topographic Maps Web Browsing System, 2000 (h	Unverified	Geographic center																													Laticauda laticaudata								Reptilia	Serpentes	Elapidae	Laticauda		laticaudata																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2019-02-20 16:45:39.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: c4fcf55a-ba11-4d63-9ebe-8fe67699915e. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=c4fcf55a-ba11-4d63-9ebe-8fe67699915e	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				c4fcf55a-ba11-4d63-9ebe-8fe67699915e	350939		Richmond, John; Tigulu, Ikuo								ETOH - 1; tissue - 50																		2018-10-23		296	296	2018	10	23	2018-10-23					collected just offshore from Te-Nggano village			Solomon Islands, Rennell and Belona Province, East Rennell	Oceania			Rennell Island	Solomon Islands		Rennell and Belona Province	East Rennell		Te-Nggano, Lake Te-Nggano												-11.744942	160.433891	not recorded																																												Laticauda crockeri								Reptilia	Serpentes	Elapidae	Laticauda		crockeri																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	1	0	0	0	specimen	0
PhysicalObject	2018-10-23 13:49:51.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: d17806f8-fd32-4faf-b89a-0da0fa0e7bc1. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=d17806f8-fd32-4faf-b89a-0da0fa0e7bc1	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				d17806f8-fd32-4faf-b89a-0da0fa0e7bc1	350709		Travers, Scott; Tigulu, Ikuo								tissue - 50; ETOH - 1																		2018-06-18		169	169	2018	6	18	2018-06-18					16:30; collected in mangrove islet (10 m in diameter), resting in hole in mangrove tree			Solomon Islands, Isabel Province, Hovukoilo	Oceania			Tine Mangrove Islet	Solomon Islands		Isabel Province	Hovukoilo		Tine Mangrove Islet												-8.0722	159.53532	not recorded																																												Laticauda colubrina								Reptilia	Serpentes	Elapidae	Laticauda		colubrina																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	1	0	0	0	specimen	0
PhysicalObject	2019-02-20 16:45:41.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: 235b1764-0d4a-4087-958d-91010a648490. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=235b1764-0d4a-4087-958d-91010a648490	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				235b1764-0d4a-4087-958d-91010a648490	350943		Richmond, John; Tigulu, Ikuo								ETOH - 1; tissue - 50																		2018-10-18		291	291	2018	10	18	2018-10-18					collected just offshore from Te-Nggano village			Solomon Islands, Rennell and Belona Province, East Rennell	Oceania			Rennell Island	Solomon Islands		Rennell and Belona Province	East Rennell		Te-Nggano, Lake Te-Nggano												-11.744459	160.433523	not recorded																																												Laticauda crockeri								Reptilia	Serpentes	Elapidae	Laticauda		crockeri																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	1	0	0	0	specimen	0
PhysicalObject	2019-02-20 16:45:40.0	http://creativecommons.org/licenses/by/4.0/deed.en_US		http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Record ID: 60ab803d-a29c-425d-b8e3-715cc25de273. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	http://portal.vertnet.org/o/ku/kuh?id=60ab803d-a29c-425d-b8e3-715cc25de273	http://grbio.org/cool/iakn-125z			KU	KUH	University of Kansas Biodiversity Institute Herpetology Collection	PreservedSpecimen				60ab803d-a29c-425d-b8e3-715cc25de273	350941		Richmond, John; Tigulu, Ikuo								ETOH - 1; tissue - 50																		2018-10-22		295	295	2018	10	22	2018-10-22					collected just offshore from Te-Nggano village			Solomon Islands, Rennell and Belona Province, East Rennell	Oceania			Rennell Island	Solomon Islands		Rennell and Belona Province	East Rennell		Te-Nggano, Lake Te-Nggano												-11.744253	160.433569	not recorded																																												Laticauda crockeri								Reptilia	Serpentes	Elapidae	Laticauda		crockeri																	University of Kansas Biodiversity Institute. KUBI Herpetology Collection. Source: http://ipt.nhm.ku.edu:8080/ipt/resource.do?r=kubi_herps (source published on 2019-07-30)	dce00a1f-f6b4-4e11-9771-92c62c40ad80	b554c320-0560-11d8-b851-b8a03c50a862	rafe@ku.edu	Rafe Brown	2019-07-30	2019-08-31	no migrator	0	1	0	0	0	specimen	0
