institutioncode,catalognumber,scientificname,country,stateprovince,decimallatitude,decimallongitude
CAS,14997,Laticauda semifasciata,Japan,Okinawa Pref.,24.81083,125.33083
MCZ,R-25981,Laticauda semifasciata,Japan,Okinawa Prefecture,24.783,125.333
UCM,UCM:Herp:58881,Laticauda semifasciata,Japan,,35.9999962,137.9999924
UCM,UCM:Herp:58882,Laticauda semifasciata,Japan,,35.9999962,137.9999924
USNM,156996,Laticauda semifasciata,Japan,Amami Island Group,28.4639,129.678
USNM,144184,Laticauda semifasciata,Japan,Okinawa,26.2108,127.688
USNM,133978,Laticauda semifasciata,Japan,Sakishima Gunto,24.4717,124.221
USNM,5546,Laticauda semifasciata,Japan,Tokara Island Group,28.7992,128.988
USNM,7515,Laticauda semifasciata,Japan,Tokara Island Group,28.7992,128.988
USNM,7336,Laticauda semifasciata,Japan,Tokara Island Group,28.7992,128.988
AM,R.147677,Laticauda semifasciata,Japan,,24.416,123.766
AM,R.147678,Laticauda semifasciata,Japan,,24.416,123.766
AM,R.147687,Laticauda semifasciata,Japan,,24.416,123.766
CAS,123969,Laticauda semifasciata,Japan,Okinawa Pref.,26.7518527778,128.3287361111
CAS,22097,Laticauda semifasciata,Japan,Okinawa Pref.,24.3454861111,124.1355
CAS,22098,Laticauda semifasciata,Japan,Okinawa Pref.,24.3454861111,124.1355
CAS,22099,Laticauda semifasciata,Japan,Okinawa Pref.,24.3454861111,124.1355
ROM,17487,Laticauda semifasciata,Philippines,Negros Island,9.3120448,123.3105468
CAS,22093,Laticauda semifasciata,Japan,Okinawa Pref.,26.2183555556,127.6567111111
CAS,22094,Laticauda semifasciata,Japan,Okinawa Pref.,24.8110833333,125.269675
CAS,22095,Laticauda semifasciata,Japan,Okinawa Pref.,24.8110833333,125.269675
CAS,22096,Laticauda semifasciata,Japan,Okinawa Pref.,24.3454861111,124.1355
CAS,22100,Laticauda semifasciata,Japan,Okinawa Pref.,24.3454861111,124.1355
CAS,22101,Laticauda semifasciata,Japan,Okinawa Pref.,24.3454861111,124.1355
CAS,22102,Laticauda semifasciata,Japan,Okinawa Pref.,24.3454861111,124.1355
CAS,22103,Laticauda semifasciata,Japan,Okinawa Pref.,24.3454861111,124.1355
CAS,22104,Laticauda semifasciata,Japan,Okinawa Pref.,24.3454861111,124.1355
CAS,16307,Laticauda semifasciata,Japan,Okinawa Pref.,26.2637722222,127.6968222222
USNM,167243,Laticauda semifasciata,Indonesia,Lesser Sunda Islands,-8.8,115.105
CAS,5160,Laticauda semifasciata,Japan,Okinawa Pref.,26.2183555556,127.6567111111
CAS,5161,Laticauda semifasciata,Japan,Okinawa Pref.,26.2183555556,127.6567111111
AM,R.101172,Laticauda semifasciata,Japan,,24.75,125.416
AM,R.101305,Laticauda semifasciata,Japan,,28.333,129.333
AM,R.101242,Laticauda semifasciata,Japan,,28.333,129.333
AM,R.101178,Laticauda semifasciata,Japan,,24.75,125.416
AM,R.101264,Laticauda semifasciata,Japan,,28.333,129.333
AM,R.101171,Laticauda semifasciata,Japan,,24.75,125.416
AM,R.101308,Laticauda semifasciata,Japan,,28.333,129.333
AM,R.101240,Laticauda semifasciata,Japan,,28.333,129.333
AM,R.101306,Laticauda semifasciata,Japan,,28.333,129.333
AM,R.101173,Laticauda semifasciata,Japan,,24.75,125.416
AM,R.101239,Laticauda semifasciata,Japan,,28.333,129.333
AM,R.101179,Laticauda semifasciata,Japan,,24.75,125.416
AM,R.101265,Laticauda semifasciata,Japan,,28.333,129.333
AM,R.101174,Laticauda semifasciata,Japan,,24.75,125.416
AM,R.101241,Laticauda semifasciata,Japan,,28.333,129.333
FMNH,202822,Laticauda semifasciata,Philippine Is,,,
